id,season,city,date,team1,team2,toss_winner,toss_decision,winner,venue,result,result_margin,player_of_match
1,2008,Chepauk,2008-04-01,GT,SRH,GT,bat,SRH,Chepauk Stadium,normal,19,Player_192
2,2008,Wankhede,2008-04-02,KKR,PBKS,PBKS,bat,KKR,Wankhede Stadium,normal,13,Player_151
3,2008,Chepauk,2008-04-03,PBKS,RR,PBKS,bat,RR,Chepauk Stadium,normal,15,Player_120
4,2008,Chinnaswamy,2008-04-04,RCB,MI,MI,bat,MI,Chinnaswamy Stadium,normal,9,Player_83
5,2008,Narendra,2008-04-05,KKR,PBKS,PBKS,bat,PBKS,Narendra Modi Stadium,normal,20,Player_2
6,2008,Rajiv,2008-04-06,KKR,RCB,KKR,bat,KKR,Rajiv Gandhi Stadium,normal,8,Player_136
7,2008,Narendra,2008-04-07,GT,RR,RR,bat,RR,Narendra Modi Stadium,normal,30,Player_171
8,2008,Chepauk,2008-04-08,LSG,MI,LSG,field,LSG,Chepauk Stadium,normal,17,Player_198
9,2008,Arun,2008-04-09,PBKS,SRH,PBKS,bat,SRH,Arun Jaitley Stadium,normal,37,Player_121
10,2008,Wankhede,2008-04-10,GT,PBKS,PBKS,bat,GT,Wankhede Stadium,normal,20,Player_101
11,2008,Wankhede,2008-04-11,RR,GT,GT,bat,RR,Wankhede Stadium,normal,4,Player_196
12,2008,Chepauk,2008-04-12,PBKS,RCB,RCB,bat,RCB,Chepauk Stadium,normal,20,Player_176
13,2008,Chinnaswamy,2008-04-13,GT,PBKS,GT,bat,PBKS,Chinnaswamy Stadium,normal,24,Player_21
14,2008,Rajiv,2008-04-14,GT,SRH,GT,bat,SRH,Rajiv Gandhi Stadium,normal,35,Player_83
15,2008,Narendra,2008-04-15,KKR,PBKS,PBKS,field,PBKS,Narendra Modi Stadium,normal,35,Player_151
16,2008,Chinnaswamy,2008-04-16,MI,SRH,SRH,bat,SRH,Chinnaswamy Stadium,normal,26,Player_3
17,2008,Narendra,2008-04-17,SRH,GT,GT,field,GT,Narendra Modi Stadium,normal,42,Player_110
18,2008,Chepauk,2008-04-18,LSG,SRH,SRH,bat,SRH,Chepauk Stadium,normal,4,Player_4
19,2008,Narendra,2008-04-19,MI,DC,MI,field,DC,Narendra Modi Stadium,normal,25,Player_161
20,2008,Narendra,2008-04-20,CSK,SRH,CSK,field,SRH,Narendra Modi Stadium,normal,22,Player_195
21,2008,Wankhede,2008-04-21,GT,MI,GT,field,MI,Wankhede Stadium,normal,38,Player_12
22,2008,Chepauk,2008-04-22,SRH,MI,MI,bat,MI,Chepauk Stadium,normal,12,Player_126
23,2008,Chepauk,2008-04-23,RCB,LSG,RCB,bat,LSG,Chepauk Stadium,normal,28,Player_118
24,2008,Arun,2008-04-24,RR,PBKS,RR,bat,PBKS,Arun Jaitley Stadium,normal,23,Player_185
25,2008,Narendra,2008-04-25,KKR,PBKS,KKR,bat,KKR,Narendra Modi Stadium,normal,43,Player_117
26,2008,Arun,2008-04-26,SRH,DC,SRH,field,DC,Arun Jaitley Stadium,normal,31,Player_66
27,2008,Eden,2008-04-27,DC,MI,DC,field,MI,Eden Gardens,normal,37,Player_107
28,2008,Rajiv,2008-04-28,RCB,PBKS,RCB,field,RCB,Rajiv Gandhi Stadium,normal,26,Player_129
29,2008,Wankhede,2008-04-29,SRH,RCB,SRH,field,SRH,Wankhede Stadium,normal,25,Player_70
30,2008,Wankhede,2008-04-30,RCB,RR,RCB,field,RR,Wankhede Stadium,normal,9,Player_55
31,2008,Arun,2008-05-01,RR,DC,DC,field,DC,Arun Jaitley Stadium,normal,35,Player_94
32,2008,Arun,2008-05-02,RCB,KKR,KKR,field,KKR,Arun Jaitley Stadium,normal,32,Player_103
33,2008,Narendra,2008-05-03,CSK,SRH,SRH,bat,CSK,Narendra Modi Stadium,normal,36,Player_158
34,2008,Arun,2008-05-04,RR,CSK,RR,field,RR,Arun Jaitley Stadium,normal,42,Player_4
35,2008,Arun,2008-05-05,RCB,MI,RCB,field,RCB,Arun Jaitley Stadium,normal,36,Player_21
36,2009,Arun,2009-04-01,SRH,PBKS,PBKS,bat,SRH,Arun Jaitley Stadium,normal,46,Player_74
37,2009,Chinnaswamy,2009-04-02,MI,CSK,MI,field,MI,Chinnaswamy Stadium,normal,40,Player_88
38,2009,Rajiv,2009-04-03,SRH,LSG,SRH,bat,LSG,Rajiv Gandhi Stadium,normal,1,Player_175
39,2009,Narendra,2009-04-04,RR,KKR,KKR,bat,KKR,Narendra Modi Stadium,normal,43,Player_33
40,2009,Chepauk,2009-04-05,LSG,DC,LSG,bat,DC,Chepauk Stadium,normal,45,Player_88
41,2009,Narendra,2009-04-06,GT,RCB,RCB,field,GT,Narendra Modi Stadium,normal,32,Player_87
42,2009,Arun,2009-04-07,SRH,LSG,SRH,bat,LSG,Arun Jaitley Stadium,normal,8,Player_156
43,2009,Chinnaswamy,2009-04-08,SRH,MI,MI,field,MI,Chinnaswamy Stadium,normal,20,Player_18
44,2009,Arun,2009-04-09,RCB,SRH,SRH,field,RCB,Arun Jaitley Stadium,normal,20,Player_92
45,2009,Eden,2009-04-10,DC,LSG,DC,bat,LSG,Eden Gardens,normal,10,Player_3
46,2009,Narendra,2009-04-11,DC,GT,GT,field,DC,Narendra Modi Stadium,normal,41,Player_175
47,2009,Chinnaswamy,2009-04-12,LSG,GT,GT,bat,GT,Chinnaswamy Stadium,normal,8,Player_96
48,2009,Chepauk,2009-04-13,KKR,RCB,RCB,field,RCB,Chepauk Stadium,normal,33,Player_126
49,2009,Eden,2009-04-14,LSG,GT,LSG,field,LSG,Eden Gardens,normal,37,Player_1
50,2009,Chepauk,2009-04-15,SRH,DC,SRH,field,SRH,Chepauk Stadium,normal,7,Player_35
51,2009,Eden,2009-04-16,MI,SRH,MI,bat,SRH,Eden Gardens,normal,37,Player_7
52,2009,Rajiv,2009-04-17,RR,PBKS,RR,field,PBKS,Rajiv Gandhi Stadium,normal,23,Player_62
53,2009,Narendra,2009-04-18,KKR,GT,KKR,field,GT,Narendra Modi Stadium,normal,15,Player_158
54,2009,Arun,2009-04-19,DC,GT,DC,field,DC,Arun Jaitley Stadium,normal,48,Player_82
55,2009,Rajiv,2009-04-20,RR,LSG,RR,field,LSG,Rajiv Gandhi Stadium,normal,31,Player_108
56,2009,Narendra,2009-04-21,GT,KKR,KKR,bat,KKR,Narendra Modi Stadium,normal,24,Player_50
57,2009,Eden,2009-04-22,RCB,MI,MI,bat,MI,Eden Gardens,normal,21,Player_128
58,2009,Chinnaswamy,2009-04-23,RCB,CSK,RCB,field,RCB,Chinnaswamy Stadium,normal,18,Player_77
59,2009,Rajiv,2009-04-24,GT,MI,GT,bat,MI,Rajiv Gandhi Stadium,normal,39,Player_3
60,2009,Chepauk,2009-04-25,PBKS,SRH,SRH,field,PBKS,Chepauk Stadium,normal,44,Player_58
61,2009,Narendra,2009-04-26,LSG,PBKS,LSG,field,PBKS,Narendra Modi Stadium,normal,10,Player_108
62,2009,Chepauk,2009-04-27,LSG,MI,MI,field,MI,Chepauk Stadium,normal,24,Player_85
63,2009,Arun,2009-04-28,RR,CSK,RR,field,RR,Arun Jaitley Stadium,normal,36,Player_119
64,2009,Wankhede,2009-04-29,LSG,PBKS,PBKS,field,PBKS,Wankhede Stadium,normal,18,Player_83
65,2009,Arun,2009-04-30,LSG,RR,RR,field,LSG,Arun Jaitley Stadium,normal,7,Player_26
66,2009,Chepauk,2009-05-01,GT,CSK,CSK,field,CSK,Chepauk Stadium,normal,23,Player_27
67,2009,Arun,2009-05-02,GT,DC,DC,field,DC,Arun Jaitley Stadium,normal,4,Player_198
68,2009,Rajiv,2009-05-03,RCB,RR,RR,field,RR,Rajiv Gandhi Stadium,normal,27,Player_6
69,2009,Eden,2009-05-04,DC,SRH,DC,bat,SRH,Eden Gardens,normal,2,Player_196
70,2009,Wankhede,2009-05-05,RCB,PBKS,RCB,bat,PBKS,Wankhede Stadium,normal,7,Player_190
71,2010,Chepauk,2010-04-01,PBKS,LSG,PBKS,bat,PBKS,Chepauk Stadium,normal,25,Player_140
72,2010,Wankhede,2010-04-02,PBKS,CSK,CSK,bat,PBKS,Wankhede Stadium,normal,10,Player_69
73,2010,Wankhede,2010-04-03,LSG,RR,LSG,bat,RR,Wankhede Stadium,normal,45,Player_70
74,2010,Chinnaswamy,2010-04-04,GT,LSG,LSG,field,GT,Chinnaswamy Stadium,normal,26,Player_150
75,2010,Rajiv,2010-04-05,RCB,DC,DC,bat,DC,Rajiv Gandhi Stadium,normal,20,Player_128
76,2010,Rajiv,2010-04-06,KKR,GT,KKR,field,GT,Rajiv Gandhi Stadium,normal,2,Player_62
77,2010,Narendra,2010-04-07,RCB,KKR,RCB,bat,KKR,Narendra Modi Stadium,normal,9,Player_18
78,2010,Arun,2010-04-08,KKR,RCB,KKR,field,KKR,Arun Jaitley Stadium,normal,46,Player_169
79,2010,Eden,2010-04-09,SRH,LSG,LSG,field,SRH,Eden Gardens,normal,33,Player_51
80,2010,Chinnaswamy,2010-04-10,MI,GT,MI,field,MI,Chinnaswamy Stadium,normal,23,Player_145
81,2010,Arun,2010-04-11,KKR,SRH,SRH,bat,SRH,Arun Jaitley Stadium,normal,9,Player_152
