Movie Name,Language,Genre,Rating,Review
Inception,English,Sci-Fi,8.8,Mind-bending thriller with stunning visuals
Parasite,Korean,Drama/Thriller,8.6,Sharp social commentary with gripping suspense
Interstellar,English,Sci-Fi,8.6,Epic space odyssey with emotional depth
Spirited Away,Japanese,Fantasy/Animation,8.5,Magical storytelling with breathtaking animation
The Dark Knight,English,Action/Crime,9.0,Iconic superhero film with a legendary villain
3 Idiots,Hindi,Comedy/Drama,8.4,Heartwarming story with humor and life lessons
Coco,English,Animation/Music,8.4,Beautiful celebration of family and culture
The Godfather,English,Crime/Drama,9.2,Masterpiece of storytelling and character depth
RRR,Telugu,Action/Drama,8.0,High-energy spectacle with powerful performances
Lapata Ladies,Hindi,Sensitization,9.2,Creates a sense of awareness
